city,month,monthnum,sunshine
San Diego,Oct,9,262
San Diego,Nov,10,212
San Diego,Dec,11,216
San Francisco,Jan,0,165
San Francisco,Feb,1,182
San Francisco,Mar,2,251
San Francisco,Apr,3,281
San Francisco,May,4,314
San Francisco,Jun,5,330
San Francisco,Jul,6,300
San Francisco,Aug,7,272
San Francisco,Sep,8,267
San Francisco,Oct,9,243
San Francisco,Nov,10,189
San Francisco,Dec,11,156
Seattle,Jan,0,69
Seattle,Feb,1,108
Seattle,Mar,2,178
Seattle,Apr,3,207
Seattle,May,4,253
Seattle,Jun,5,268
Seattle,Jul,6,312
Seattle,Aug,7,281
Seattle,Sep,8,221
Seattle,Oct,9,142
Seattle,Nov,10,72
Seattle,Dec,11,52
Washington,Jan,0,76
Washington,Feb,1,97
Washington,Mar,2,135
Washington,Apr,3,182
Washington,May,4,221
Washington,Jun,5,214
Washington,Jul,6,226
Washington,Aug,7,186
Washington,Sep,8,170
Washington,Oct,9,123
Washington,Nov,10,87
Washington,Dec,11,66
