Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Armenia,ARM,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.122864396,0.128749839,0.132473968,0.13520448,0.142035905,0.145224461,0.146363855,0.14567727,0.146599049,0.149146782,0.149968227,0.150765191,0.151630528,0.152619931,0.153094631,0.154162752,0.154903589,0.155604354,0.155874541,0.156160048,0.155465618,0.154680109,0.153653186,0.152688768,0.152035985,0.151453975,0.150961754,,
American Samoa,ASM,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.04853191,0.047067683,0.045394707,0.043763676,0.042238648,0.040861357,0.039627501,0.038491147,0.037455989,0.036547036,0.03573726,0.035009102,0.034360719,0.033789491,0.033283408,0.032835331,0.032431731,0.031987717,0.031405062,0.030629748,0.029676232,0.028596757,0.027462719,0.026353239,0.025303003,0.024322615,0.023396738,0.022549948,0.021789341,0.021118878,0.020541473,0.024048096,0.023517883,0.023033072,0.028217766,0.036894243,0.036214171,0.042719829,0.043821978,0.043240625,0.042737965,0.042317653,0.056139171,0.0552912,0.055409104,0.055829062,0.051398907,0.051487215,0.052933392,0.053491192,0.053806833,0.053889957,0.053843531,0.053772114,0.05375766,0.053822279,0.053940342,0.054092065,,
Antigua and Barbuda,ATG,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.145441324,0.125337965,0.141090986,0.121441335,0.136288523,0.133529176,0.114304376,0.111958799,0.125879187,0.124641655,0.108773347,0.046777061,0.047133498,0.047537555,0.04786903,0.048113162,0.048260995,0.048357458,0.048427714,0.048495821,0.048552331,0.048559404,0.04856019,0.048556261,0.064740633,0.064773132,0.064816165,0.064768937,0.064508846,0.063966226,0.063128324,0.06205495,0.06081153,0.059522924,0.058247903,0.056999544,0.05578256,0.054630629,0.053566168,0.052626732,0.051805419,0.051086873,0.050434366,0.049784062,0.049102649,0.048358822,0.047602613,0.046841698,0.046113231,0.045439055,0.044817927,0.044244362,0.04371107,0.043214278,0.042748287,0.042319086,0.041917736,0.041544629,,
Australia,AUS,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,1.371609873,1.444404515,1.404881863,1.459304639,1.521569652,1.61233925,1.633514493,1.782951361,1.601243089,1.478690381,1.303006879,1.293693557,1.115396114,1.076878234,0.976966818,1.031283403,1.045870913,1.158587547,1.189885628,1.210590798,1.22100891,1.280998814,1.252456243,1.398546063,1.330308415,1.290828048,1.205123002,1.097010682,1.042380341,0.993606835,0.99560287,0.92746499,0.968528896,0.999327919,0.93166224,1.048167768,1.128908571,1.14104003,1.214942407,1.225552133,1.246587338,1.207801989,1.168109211,1.279002752,1.294545669,1.170553534,1.110305556,1.129176628,1.251243563,1.155160167,1.418749595,1.391666427,1.349905995,1.361421345,1.30545459,1.242491652,1.24998679,1.23981855,,
Austria,AUT,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.238347267,0.235768873,0.230775309,0.229380627,0.228307708,0.220702736,0.216890394,0.215901954,0.21300743,0.212398786,0.211586402,0.210492801,0.199575145,0.199235745,0.199369223,0.200911371,0.202023405,0.204567258,0.201737218,0.203458988,0.20465839,0.202663273,0.190295838,0.191101318,0.191408179,0.190097643,0.18997738,0.192213457,0.191480697,0.185729078,0.186334018,0.183146703,0.179492268,0.17930681,0.177900169,0.177157556,0.176454915,0.176010673,0.175418314,0.174622539,0.172463251,0.171369385,0.169924655,0.168784354,0.167808543,0.166556995,0.165873324,0.164513688,0.163795648,0.163067574,0.162018332,0.160747503,0.159661351,0.158160975,0.155749957,0.153890476,0.15105769,0.150121243,,
Azerbaijan,AZE,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.230899485,0.228925951,0.226879031,0.224632401,0.229911117,0.229796192,0.228699608,0.22860543,0.226822056,0.226316698,0.224830059,0.223278804,0.221597544,0.219641676,0.217017992,0.216051181,0.212269211,0.209449995,0.208088239,0.205568859,0.204049492,0.204453721,0.202043423,0.200811641,0.2048615,0.212552566,0.211061201,,
Burundi,BDI,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.236639675,0.24077157,0.244230229,0.245845411,0.244314043,0.237502271,0.242221925,0.239741319,0.290575994,0.270187148,0.263172805,0.251004649,0.257966448,0.255044114,0.251291653,0.24795339,0.244393098,0.236752975,0.229559401,0.223703099,0.217976243,0.212342002,0.206779522,0.201250959,0.195755186,0.190310728,0.184995732,0.179929085,0.17523797,0.170988603,0.167118215,0.163572019,0.160398644,0.157654802,0.157005694,0.155112696,0.155174751,0.153583408,0.153180115,0.150496851,0.149412785,0.147073784,0.14328802,0.138115969,0.129805643,0.118298862,0.108111876,0.110754182,0.113126739,0.109502437,0.111627002,0.118970469,0.125782182,0.121897939,0.118109841,0.114416454,0.110833924,0.107378909,,
Belgium,BEL,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.109647833,0.108886883,0.107752937,0.106417997,0.105244616,0.104326211,0.103329603,0.102819949,0.102425536,0.102221013,0.102034888,0.101636115,0.101111508,0.10058922,0.100196925,0.099916207,0.099386004,0.098683535,0.09768102,0.077287889,0.077087066,0.076905103,0.077012679,0.077318238,0.077498086,0.077571865,0.067678233,0.077461728,0.07718086,0.076850695,0.075965922,0.082825974,0.083395516,0.09292575,0.08622041,0.084870612,0.085451239,0.085563003,0.085367126,0.084087306,0.082145944,0.080520402,0.08047314,0.080605408,0.080449548,0.079825877,0.078959504,0.078805054,0.077803042,0.076544759,0.074740013,0.072297192,0.073122165,0.072887487,0.073575091,0.074959701,0.073493485,0.074384876,,
Benin,BEN,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.373094229,0.375564796,0.377527072,0.378969366,0.379887105,0.384018994,0.39118081,0.394040954,0.413939664,0.412040086,0.419945743,0.420559719,0.417512263,0.417266291,0.419580377,0.418263912,0.416491308,0.411472068,0.406243549,0.403533772,0.40051035,0.394631283,0.386144349,0.377692654,0.369288129,0.36099411,0.352791085,0.344543922,0.33609819,0.324395615,0.314593894,0.305712606,0.298817714,0.297503682,0.303104604,0.319972591,0.334307388,0.347744107,0.345132773,0.346638322,0.346205195,0.349535324,0.352367564,0.341935352,0.332488832,0.304251254,0.295690372,0.287458254,0.279494714,0.271761167,0.264247457,0.267235289,0.269876019,0.262471299,0.255295925,0.257540605,0.250554979,0.243795513,,
Burkina Faso,BFA,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.433949389,0.430213486,0.426428122,0.421464197,0.417208226,0.412833215,0.408008572,0.403014623,0.398323352,0.393984133,0.38438838,0.391747955,0.396762967,0.402811568,0.407178164,0.4064372,0.406317741,0.405768341,0.404697125,0.402325308,0.399417852,0.396744516,0.393003047,0.389046211,0.385615357,0.381429659,0.377760415,0.41812699,0.411430639,0.397796717,0.384526733,0.371620859,0.359069322,0.342379793,0.334989118,0.335494962,0.354412036,0.355556463,0.345662065,0.318747038,0.376739627,0.382328391,0.40301474,0.353015861,0.365074037,0.339861248,0.343810695,0.408448763,0.376458827,0.384486951,0.354435402,0.362072823,0.363150934,0.341179922,0.3312974,0.321778793,0.31261013,0.30377492,,
